DRAINAGE POINT,Date,MonthlyOil (bbl),MonthlyGAS (scf),MonthlyWATER (bbl),CONDENSATE (M3),PROD_DAYS
WELL001L-RES1,4/30/1989,9774.66,3390240,26757.66,,30
WELL001S-RES3,11/30/1973,62390.51,11618635,88.06,,30
WELL001S-RES3,12/31/1973,49835.67,9393790,0,,31
WELL001S-RES3,1/31/1974,52892.61,10523870,12.58,,31
WELL001S-RES3,2/28/1974,50055.82,9358475,0,,28
WELL001S-RES3,3/31/1974,57138.36,10665130,31.45,,31
WELL001S-RES3,4/30/1974,54257.54,9994145,314.5,,30
WELL001S-RES3,5/31/1974,52974.38,9782255,937.21,,31
WELL001S-RES3,6/30/1974,46256.66,8581545,1912.16,,30
WELL001S-RES3,7/31/1974,45124.46,8616860,3692.23,,31
WELL001S-RES3,8/31/1974,44237.57,7698670,4635.73,,31
WELL001S-RES3,9/30/1974,42256.22,7592725,4484.77,,30
WELL001S-RES3,10/31/1974,41897.69,6815795,5013.13,,31
WELL001S-RES3,11/30/1974,39243.31,6603905,5698.74,,30
WELL001S-RES3,12/31/1974,38023.05,6851110,6220.81,,31
WELL001S-RES3,1/31/1975,36513.45,6639220,6617.08,,31
WELL001S-RES3,2/28/1975,31915.46,5544455,5214.41,,28
WELL001S-RES3,3/31/1975,35714.62,6215440,6956.74,,31
WELL001S-RES3,4/30/1975,33840.1991,5897605,7044.8,,30
WELL001S-RES3,5/31/1975,35029.01,5721030,6371.77,,31
WELL001S-RES3,6/30/1975,31921.75,5367880,5572.94,,30
WELL001S-RES3,7/31/1975,28128.88,4273115,5164.09,,31
WELL001S-RES3,8/31/1975,28613.21,4343745,5755.35,,31
WELL001S-RES3,9/30/1975,24770.01991,4167170,6340.31991,,30
WELL001S-RES3,10/31/1975,27487.3,5014730,10384.79,,31
WELL001S-RES3,11/30/1975,29135.28,5297250,8548.11,,30
WELL001S-RES3,12/31/1975,27852.12,4555635,9214.85,,31
WELL001S-RES3,1/31/1976,29581.87,4661580,6812.07,,31
WELL001S-RES3,2/29/1976,28305,4308430,6648.53,,29
WELL001S-RES3,3/31/1976,29279.95,4590950,7642.35,,31
WELL001S-RES3,4/30/1976,24914.69,4414375,8088.94,,30
WELL001S-RES3,5/31/1976,24172.47,3672760,8214.74,,31
WELL001S-RES3,6/30/1976,25656.91,4167170,9133.08,,30
WELL001S-RES3,7/31/1976,26386.55,4944100,10567.2,,31
WELL001S-RES3,8/31/1976,24946.14,4979415,10718.16,,31
WELL001S-RES3,9/30/1976,26594.11991,4944100,11032.66,,30
WELL001S-RES3,10/31/1976,33777.3,5756345,15152.61,,31
WELL001S-RES3,11/30/1976,28990.61,5509140,18536.63,,30
WELL001S-RES3,12/31/1976,30959.38,5615085,22952.21,,31
WELL001S-RES3,1/31/1977,27996.79,6886425,21367.13,,31
WELL001S-RES3,2/28/1977,23033.98,4802840,17913.92,,28
WELL001S-RES3,3/31/1977,27940.18,5120675,17731.51,,31
WELL001S-RES3,4/30/1977,27531.33,5332565,16398.03,,30
WELL001S-RES3,5/31/1977,31210.98,4873470,16240.78,,31
WELL001S-RES3,6/30/1977,26751.37,4661580,15882.25,,30
